learning_rate,batch_size,optimizer,optimizer_name,optimizer_params,loss_function,loss_function_class,loss_function_params,metrics,epochs,activation_layers,pca_threshold,pca,pca_transform,n_splits,class_weights_enabled,outlier_dict,stratification_enabled,lr_schedule_enabled,lr_schedule_strategy,dropout_enabled,dropout_rate,early_stopping_metric,model,scaler,outlier_detection,avg_score,variance_score,mean_absolute_error_residuals_cv,median_absolute_error_residuals_cv,avg_sign_accuracy,validation_train_error_mean,validation_train_error_median,validation_train_error_std,validation_train_abserror_mean,validation_train_abserror_median,validation_train_abserror_std,validation_training_success,validation_training_improvement,validation_test_error_mean,validation_test_error_median,validation_test_error_std,validation_test_abserror_mean,validation_test_abserror_median,validation_test_abserror_std,validation_test_success,validation_test_improvement,validation_avg_train_test_improvement,validation_train_test_harmonic_mean,validation_train_test_geometric_mean
0.001,128,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.1})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.1}","(<class 'keras.src.losses.MeanAbsolutePercentageError'>, {'reduction': 'auto'})",<class 'keras.src.losses.MeanAbsolutePercentageError'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': <function gelu at 0x000001F5FF847A60>, 'l2_reg': 0.01, 'l1_reg': 0.001}]",,False,,3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function step_decay_50_10 at 0x000001F5C26FFAF0>, 'description': 'Step Decay 50% every 10 epochs'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001FB6AD90F10>,StandardScaler(),IsolationForest(contamination=0.05),"[ 1.27564743e+02  1.58484395e+02  9.43857066e+00  1.26622836e+02
  1.25882400e+01  3.82124931e-02  8.77781741e+00 -2.45759885e-02]","[2.80644246e+02 1.29597087e+01 2.51015841e-03 2.80511291e+02
 2.06112216e-02 1.56008278e-03 2.27322264e-03 4.19204021e-05]",9.438571027798769,7.209294815858205,0.5191062471500228,1.5140881602517555,0.272654727101326,12.465856059335708,9.441209543262277,7.263888135552406,8.276998973192736,0.5211776859504132,0.07216277252559086,0.26541414356732274,-0.3377491235733032,13.089319666903224,10.007563078548177,7.77679742872715,8.435000544380875,0.488,0.02008681791997585,0.04612479522278336,0.03142605761870544,0.03807256850177276
0.001,128,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.1})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.1}","(<class 'keras.src.losses.MeanAbsolutePercentageError'>, {'reduction': 'auto'})",<class 'keras.src.losses.MeanAbsolutePercentageError'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': <function gelu at 0x000001F5FF847A60>, 'l2_reg': 0.01, 'l1_reg': 0.001}]",0.85,True,PCA(n_components=0.85),3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function step_decay_50_10 at 0x000001F5C26FFAF0>, 'description': 'Step Decay 50% every 10 epochs'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001FB6B776640>,StandardScaler(),IsolationForest(contamination=0.05),"[ 1.09905790e+02  1.58992467e+02  9.46618239e+00  1.09786764e+02
  1.26081924e+01  5.18075439e-03  8.80392329e+00 -2.77734200e-02]","[2.26093040e+01 1.63623508e+01 2.83561556e-03 2.25971485e+01
 2.59464330e-02 5.06147019e-04 2.48849326e-03 3.56618713e-06]",9.466182449195493,7.265041286125779,0.5025903792769658,2.004556698873033,0.6651514954864979,12.439770850995625,9.459674760583638,7.233779837843031,8.320849158178206,0.5227272727272727,0.0760085915896143,0.8760778701262316,0.24095328152179718,13.08111199411613,9.998360281098169,7.798533603549004,8.474461406580415,0.532,0.017347957298860708,0.04667827444423751,0.028248554963581227,0.03631244691897218
0.001,128,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.1})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.1}","(<class 'keras.src.losses.MeanAbsolutePercentageError'>, {'reduction': 'auto'})",<class 'keras.src.losses.MeanAbsolutePercentageError'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': <function gelu at 0x000001F5FF847A60>, 'l2_reg': 0.01, 'l1_reg': 0.001}]",0.9,True,PCA(n_components=0.9),3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function step_decay_50_10 at 0x000001F5C26FFAF0>, 'description': 'Step Decay 50% every 10 epochs'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001FB796DE340>,StandardScaler(),IsolationForest(contamination=0.05),"[ 1.08781115e+02  1.58987137e+02  9.46678988e+00  1.08637405e+02
  1.26078758e+01 -1.54974698e-02  8.80453142e+00 -2.77043978e-02]","[9.39405212e+01 1.80247292e+01 2.00290140e-03 9.39214245e+01
 2.86110315e-02 3.18930827e-04 1.94867335e-03 3.86279196e-06]",9.46679050574639,7.226529933900262,0.49225126198990404,2.0402539534495365,0.7875686162151396,12.443961205816015,9.471367476788476,7.260676845908165,8.322487364658379,0.496900826446281,0.07257295974551059,0.9091536078747012,0.23919562250375748,13.094036455509762,10.010590614591317,7.7681302316486835,8.483451047714416,0.503,0.021178925660560885,0.04687594270303574,0.03278904339384107,0.03920481245226211
0.001,128,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.1})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.1}","(<class 'keras.src.losses.MeanAbsolutePercentageError'>, {'reduction': 'auto'})",<class 'keras.src.losses.MeanAbsolutePercentageError'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': <function gelu at 0x000001F5FF847A60>, 'l2_reg': 0.01, 'l1_reg': 0.001}]",0.95,True,PCA(n_components=0.95),3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function step_decay_50_10 at 0x000001F5C26FFAF0>, 'description': 'Step Decay 50% every 10 epochs'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001FB6B798430>,StandardScaler(),IsolationForest(contamination=0.05),"[ 1.11794528e+02  1.59259867e+02  9.48199717e+00  1.11609337e+02
  1.26187763e+01 -5.16475849e-02  8.81876246e+00 -2.94974645e-02]","[1.87650054e+02 1.66401102e+01 2.72987553e-03 1.87561768e+02
 2.63517798e-02 5.43586139e-05 2.46427095e-03 3.97854594e-06]",9.481997344087807,7.263203167666991,0.47417620659034726,1.9884313453440574,0.7136524394154549,12.44343024323425,9.466296838028699,7.2817950919270515,8.314912655424836,0.5041322314049587,0.06987546572169932,0.951242541198968,0.3856370896100998,13.096679034079305,10.003377469858272,7.669990569353104,8.500649465130213,0.504,0.033544986323666114,0.051710226022682715,0.045328974987771664,0.048414579849402846
0.001,128,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.1})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.1}","(<class 'keras.src.losses.MeanAbsolutePercentageError'>, {'reduction': 'auto'})",<class 'keras.src.losses.MeanAbsolutePercentageError'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': <function gelu at 0x000001F5FF847A60>, 'l2_reg': 0.01, 'l1_reg': 0.001}]",0.99,True,PCA(n_components=0.99),3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function step_decay_50_10 at 0x000001F5C26FFAF0>, 'description': 'Step Decay 50% every 10 epochs'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001FB82BFEB20>,StandardScaler(),IsolationForest(contamination=0.05),"[ 1.24603877e+02  1.58437246e+02  9.48005740e+00  1.24293269e+02
  1.25853300e+01  1.44462868e-02  8.81543350e+00 -2.39390532e-02]","[3.26526800e+01 2.92497223e+01 3.10658169e-03 3.26955391e+01
 4.67145739e-02 5.37426451e-04 2.81358298e-03 5.64834464e-05]",9.480057236131792,7.275077059864998,0.5072231422148623,2.2060908888219393,0.8892688825726509,12.434832113475505,9.470238619190924,7.248928758315742,8.352402846060986,0.5036157024793388,0.07407357660750902,1.1466270129289478,0.471486397087574,13.094585440310013,10.013370316455141,7.83197121322155,8.509775812700406,0.514,0.013134660656422943,0.04360411863196598,0.022312830137883537,0.03119184656840918
0.001,128,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.1})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.1}","(<class 'keras.src.losses.MeanAbsolutePercentageError'>, {'reduction': 'auto'})",<class 'keras.src.losses.MeanAbsolutePercentageError'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': <function gelu at 0x000001F5FF847A60>, 'l2_reg': 0.01, 'l1_reg': 0.001}]",,False,,3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function step_decay_50_10 at 0x000001F5C26FFAF0>, 'description': 'Step Decay 50% every 10 epochs'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001FB8A3B7970>,StandardScaler(),IsolationForest(contamination=0.05),"[ 1.31828148e+02  1.60647105e+02  9.48418109e+00  1.30886627e+02
  1.26731173e+01  1.65038677e-02  8.82200305e+00 -3.83162498e-02]","[4.15662466e+02 2.50131428e+01 2.98908821e-04 4.15480084e+02
 3.92103829e-02 1.23437705e-03 2.25500974e-04 3.50113061e-05]",9.484181105711409,7.2443675349156065,0.5082519339845281,2.527190474617625,1.2323183119297028,12.477624910682655,9.500968663651623,7.238886767998338,8.471485102157413,0.5005165289256198,0.07535626878015171,1.4441080522523262,1.009157419204712,13.119424024676437,10.050189192689489,7.734723441302776,8.549819420453739,0.498,0.025388338922376567,0.050372303851264136,0.037980603336414266,0.04373980443161807
0.001,128,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.1})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.1}","(<class 'keras.src.losses.MeanAbsolutePercentageError'>, {'reduction': 'auto'})",<class 'keras.src.losses.MeanAbsolutePercentageError'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': <function gelu at 0x000001F5FF847A60>, 'l2_reg': 0.01, 'l1_reg': 0.001}]",0.85,True,PCA(n_components=0.85),3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function step_decay_50_10 at 0x000001F5C26FFAF0>, 'description': 'Step Decay 50% every 10 epochs'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001FB8C3284C0>,StandardScaler(),IsolationForest(contamination=0.05),"[ 1.10690458e+02  1.58818258e+02  9.47330252e+00  1.10569888e+02
  1.26010482e+01 -1.05439685e-03  8.81152789e+00 -2.65707970e-02]","[1.01242615e+02 2.00236168e+01 3.62929677e-03 1.01195402e+02
 3.18339068e-02 2.39290190e-03 3.47722453e-03 4.47294872e-06]",9.473302875645103,7.226226136088371,0.49947280421756624,2.1529689708913193,0.9232636243104935,12.431974574484569,9.467558761979241,7.3057359755039215,8.337305977566633,0.49173553719008267,0.06681742812162533,1.0664660583622754,0.5452613011002541,13.075172290383795,10.021457839123904,7.779859114438295,8.459815092334702,0.497,0.01970103106938169,0.04325922959550351,0.03042985831484031,0.036281844321923856
0.001,128,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.1})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.1}","(<class 'keras.src.losses.MeanAbsolutePercentageError'>, {'reduction': 'auto'})",<class 'keras.src.losses.MeanAbsolutePercentageError'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': <function gelu at 0x000001F5FF847A60>, 'l2_reg': 0.01, 'l1_reg': 0.001}]",0.9,True,PCA(n_components=0.9),3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function step_decay_50_10 at 0x000001F5C26FFAF0>, 'description': 'Step Decay 50% every 10 epochs'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001FB8C328DF0>,StandardScaler(),IsolationForest(contamination=0.05),"[ 1.24706406e+02  1.58461934e+02  9.45008055e+00  1.24564555e+02
  1.25868282e+01  4.23516594e-02  8.78940074e+00 -2.42422024e-02]","[4.20787245e+02 2.11479509e+01 1.12049076e-03 4.20742964e+02
 3.36871635e-02 1.28362430e-04 1.12144249e-03 3.57194435e-06]",9.450080681146073,7.232056570549806,0.5211758305933553,2.028282221576751,0.7611422846093774,12.447624004988828,9.477016429473359,7.27298591285944,8.318602188794278,0.5041322314049587,0.07100068738396778,0.9457643950195052,0.3689472824335098,13.083963336951165,10.006912516449113,7.751833995804191,8.47625658004232,0.519,0.02323232829431282,0.0471165078391403,0.035009200683076586,0.04061417583093634
0.001,128,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.1})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.1}","(<class 'keras.src.losses.MeanAbsolutePercentageError'>, {'reduction': 'auto'})",<class 'keras.src.losses.MeanAbsolutePercentageError'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': <function gelu at 0x000001F5FF847A60>, 'l2_reg': 0.01, 'l1_reg': 0.001}]",0.95,True,PCA(n_components=0.95),3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function step_decay_50_10 at 0x000001F5C26FFAF0>, 'description': 'Step Decay 50% every 10 epochs'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001FB96560F10>,StandardScaler(),IsolationForest(contamination=0.05),"[ 1.09176389e+02  1.59120524e+02  9.47159068e+00  1.08992035e+02
  1.26130683e+01 -1.44830899e-02  8.80797831e+00 -2.85339355e-02]","[1.88307294e+01 1.95711091e+01 1.95760787e-03 1.87923255e+01
 3.10378164e-02 7.71918476e-04 1.90029896e-03 6.79864684e-07]",9.471590225225775,7.258184209776421,0.4927584579323365,2.1489702892070732,0.844096951186657,12.445696042153413,9.479655924742639,7.288728002458811,8.342990599744832,0.47882231404958675,0.06898990521111935,1.022843978108838,0.46600411366671324,13.095844979780574,10.02762011839915,7.908879093825817,8.479067975731581,0.487,0.0034439046992766043,0.03621690495519798,0.0065603247724546655,0.015414105837161669
0.001,128,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.1})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.1}","(<class 'keras.src.losses.MeanAbsolutePercentageError'>, {'reduction': 'auto'})",<class 'keras.src.losses.MeanAbsolutePercentageError'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': <function gelu at 0x000001F5FF847A60>, 'l2_reg': 0.01, 'l1_reg': 0.001}]",0.99,True,PCA(n_components=0.99),3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function step_decay_50_10 at 0x000001F5C26FFAF0>, 'description': 'Step Decay 50% every 10 epochs'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001FB965608E0>,StandardScaler(),IsolationForest(contamination=0.05),"[ 1.59401774e+02  1.58749395e+02  9.46444575e+00  1.59086309e+02
  1.25986888e+01  3.61597125e-02  8.79921214e+00 -2.62748798e-02]","[4.99878282e+03 1.41272485e+01 4.40822207e-03 4.99851464e+03
 2.24278643e-02 6.54506932e-04 4.51735799e-03 6.00677957e-05]",9.464445669280948,7.204616695642471,0.5180798553611571,1.9162568827644366,0.5068990588188171,12.452853516883271,9.457025449559566,7.263929590582848,8.322616697074686,0.5222107438016529,0.07215747735587022,0.7540422433007042,0.36743396520614624,13.176777305665576,10.109875379635254,8.014810308814049,8.47848553297107,0.462,-0.009903928378807188,0.031126774488531517,-0.022959092275726997,
0.001,32,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.1})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.1}","(<class 'keras.src.losses.MeanAbsolutePercentageError'>, {'reduction': 'auto'})",<class 'keras.src.losses.MeanAbsolutePercentageError'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': <function gelu at 0x000001F5FF847A60>, 'l2_reg': 0.01, 'l1_reg': 0.001}]",0.95,True,PCA(n_components=0.95),3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function step_decay_50_10 at 0x000001F5C26FFAF0>, 'description': 'Step Decay 50% every 10 epochs'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001FB8B5459D0>,StandardScaler(),IsolationForest(contamination=0.05),"[ 1.25774066e+02  1.58964238e+02  9.48537095e+00  1.25586622e+02
  1.26070779e+01 -4.13004681e-02  8.82171122e+00 -2.76032289e-02]","[5.67331588e+02 1.62702587e+01 2.32525762e-03 5.67281573e+02
 2.58236592e-02 1.66985293e-03 2.28241743e-03 2.57086731e-05]",9.485371005273324,7.290698153277238,0.4793497652018784,1.688270544282099,0.5071214139461517,12.45258672258562,9.473992909061383,7.3255325704813,8.253224767621644,0.5046487603305785,0.06428875236912517,0.5718751624319702,-0.07660733163356781,13.04653962574668,10.002516353892162,7.821719199419022,8.389820074493906,0.513,0.014426462784488427,0.0393576075768068,0.0235649306605954,0.030454216350357406
0.001,64,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.1})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.1}","(<class 'keras.src.losses.MeanAbsolutePercentageError'>, {'reduction': 'auto'})",<class 'keras.src.losses.MeanAbsolutePercentageError'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': <function gelu at 0x000001F5FF847A60>, 'l2_reg': 0.01, 'l1_reg': 0.001}]",0.95,True,PCA(n_components=0.95),3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function step_decay_50_10 at 0x000001F5C26FFAF0>, 'description': 'Step Decay 50% every 10 epochs'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001FBA4137D30>,StandardScaler(),IsolationForest(contamination=0.05),"[ 1.20931580e+02  1.58764399e+02  9.47830518e+00  1.20753398e+02
  1.25990219e+01 -1.60063306e-06  8.81526438e+00 -2.62633165e-02]","[1.76816021e+02 1.82630896e+01 1.32122707e-03 1.76644976e+02
 2.90402488e-02 7.80391965e-04 1.32044446e-03 1.37565141e-05]",9.478305131949616,7.278293949862321,0.4999992000063999,1.9748554892182804,0.8225016593933105,12.458460518653503,9.51852106387498,7.291654884815216,8.274433039300918,0.4824380165289256,0.06861604614830982,0.9749238476110622,0.43653482384979725,13.081320454042459,10.048754595611245,7.794009864330292,8.425783363440967,0.487,0.017917969792221187,0.0432670079702655,0.02841565201346937,0.03506365985100629
