learning_rate,batch_size,optimizer,optimizer_name,optimizer_params,loss_function,loss_function_class,loss_function_params,metrics,epochs,activation_layers,pca_threshold,pca,pca_transform,n_splits,class_weights_enabled,outlier_dict,stratification_enabled,lr_schedule_enabled,lr_schedule_strategy,dropout_enabled,dropout_rate,early_stopping_metric,model,scaler,outlier_detection,avg_score,variance_score,mean_absolute_error_residuals_cv,median_absolute_error_residuals_cv,avg_sign_accuracy,validation_train_error_mean,validation_train_error_median,validation_train_error_std,validation_train_abserror_mean,validation_train_abserror_median,validation_train_abserror_std,validation_training_success,validation_training_improvement_abserror_mean,validation_training_improvement_abserror_median,validation_training_improvement_abserror_std,validation_training_improvement_sign_success,validation_test_error_mean,validation_test_error_median,validation_test_error_std,validation_test_abserror_mean,validation_test_abserror_median,validation_test_abserror_std,validation_test_success,validation_test_improvement_abserror_mean,validation_test_improvement_abserror_median,validation_test_improvement_abserror_std,validation_test_improvement_sign_success,validation_avg_train_test_improvement_abserror_mean,validation_avg_train_test_improvement_abserror_median,validation_avg_train_test_improvement_abserror_std,validation_avg_train_test_improvement_sign_success,validation_train_test_harmonic_mean_abserror_mean,validation_train_test_harmonic_mean_abserror_median,validation_train_test_harmonic_mean_abserror_std,validation_train_test_harmonic_mean_sign_success,validation_train_test_geometric_mean_abserror_mean,validation_train_test_geometric_mean_abserror_median,validation_train_test_geometric_mean_abserror_std,validation_train_test_geometric_mean_sign_success
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.85,True,PCA(n_components=0.85),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x0000020C29B71280>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x0000020CBE3BAE80>,StandardScaler(),IsolationForest(contamination=0.05),"[1.01293240e+01 2.03387695e+02 1.05403185e+01 1.99898911e+02
 1.42614059e+01 2.38410592e-01 9.88280869e+00 5.75284958e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],10.540318822944611,7.264518017014737,0.6192052980132451,-0.9248976284270358,-0.9047406722793441,12.486693678151392,9.246807322111568,6.888299499590358,8.438804035449456,0.5450331125827814,-0.012333424128549356,-0.038760559243189364,-0.013829753088873664,0.03132832080200496,-3.071999911917054,-2.3937042866782154,13.263542718465153,10.015812748901357,7.003997515400331,9.21138984881219,0.4693446088794926,-0.03419523511065387,-0.04356516879373704,-0.03932164010728261,-0.13281250000000006,-0.023,-0.041,-0.027,-0.051,-0.018,-0.041,-0.02,0.082,,,,
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.9,True,PCA(n_components=0.9),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x0000020C29B71280>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x0000020C89308250>,StandardScaler(),IsolationForest(contamination=0.05),"[1.02711191e+01 2.06335144e+02 1.06881180e+01 2.08760971e+02
 1.43643703e+01 2.05298007e-01 1.00216112e+01 4.38703895e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],10.688117908727166,7.417454952079074,0.6026490066225165,-1.3154440113610884,-1.195454856480445,12.423374304509723,9.22740615453843,6.893511296115676,8.418451142010413,0.5423841059602649,-0.010209399076741382,-0.03954650193828019,-0.011384576160570956,0.026315789473684178,-3.509857323293571,-2.946663052365362,13.195627817895542,10.0730632062796,7.037859888883826,9.208051789072254,0.4693446088794926,-0.0401067024785896,-0.04861051517233867,-0.038945006637129936,-0.13281250000000006,-0.025,-0.044,-0.025,-0.053,-0.016,-0.044,-0.018,0.066,,,,
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.95,True,PCA(n_components=0.95),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x0000020C29B71280>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x0000020CB0807D00>,StandardScaler(),IsolationForest(contamination=0.05),"[1.01519718e+01 2.01471924e+02 1.05450315e+01 1.89868073e+02
 1.41940804e+01 1.92052975e-01 9.88129425e+00 6.64059520e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],10.545031990466773,7.429929740889445,0.5960264900662252,-0.9834039085121448,-0.8496601089768533,12.50463817490046,9.283803681713843,6.7951550054263485,8.431344647686117,0.5470198675496689,-0.016383757404868773,-0.02471430198419754,-0.012933589459225282,0.03508771929824571,-3.0728386067944564,-2.6375596422194754,13.199428994208821,9.977552813376175,7.04412575579099,9.161047612691906,0.4820295983086681,-0.030244657757844927,-0.04954410209070007,-0.03364152274497714,-0.109375,-0.023,-0.037,-0.023,-0.037,-0.021,-0.033,-0.019,0.103,,,,
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.99,True,PCA(n_components=0.99),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x0000020C29B71280>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x0000020C91B04D90>,StandardScaler(),IsolationForest(contamination=0.05),"[1.02281246e+01 1.99879837e+02 1.05516739e+01 1.91366226e+02
 1.41378870e+01 1.92052975e-01 9.88535500e+00 7.37834573e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],10.551674368690476,7.464673417231971,0.5960264900662252,-1.205217990512574,-1.0405594822250908,12.32832805376574,9.165507373199594,6.704496315337251,8.329405132470866,0.5569536423841059,-0.003432767632038648,-0.01104290578215869,-0.0006866747179264532,0.053884711779448605,-3.345278692907426,-2.7497834568942845,13.294948445796544,10.107725416868558,7.264703809557002,9.251361331667123,0.47780126849894294,-0.04368579225674399,-0.0824092727884891,-0.04383162478930815,-0.11718749999999999,-0.024,-0.047,-0.022,-0.032,-0.006,-0.019,-0.001,0.2,,,,
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",,False,,1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x0000020C29B71280>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x0000020C9D76EFA0>,StandardScaler(),IsolationForest(contamination=0.05),"[1.03663492e+01 1.99842422e+02 1.04790068e+01 2.19424881e+02
 1.41365633e+01 2.11920530e-01 9.81785393e+00 7.39568472e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],10.47900621480838,7.102492976400692,0.6059602649006622,-0.7975456322231144,-0.5944946491329863,12.304317563512814,9.095325507608909,6.704144816155047,8.321836584288526,0.5562913907284768,0.004250689568940836,-0.010989899450610288,0.00022260333885850447,0.052631578947368356,-2.6994218334653826,-1.9678969996578766,13.44896387514672,10.058208223056184,7.275695807268572,9.316386378724761,0.4587737843551797,-0.038572832661685146,-0.08404703264234868,-0.051168404544071476,-0.15234375000000008,-0.017,-0.048,-0.025,-0.05,0.01,-0.019,0.0,0.161,,,,
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.85,True,PCA(n_components=0.85),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x0000020C29B71280>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x0000020CA5933C70>,StandardScaler(),IsolationForest(contamination=0.05),"[1.01492739e+01 2.04372284e+02 1.05619717e+01 1.99970474e+02
 1.42958832e+01 1.85430467e-01 9.90210724e+00 5.29660583e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],10.56197069400045,7.277472523209184,0.5927152317880795,-0.9859419043850528,-0.9931649709698147,12.438623463563971,9.212969560911846,6.870014437057819,8.411719371461439,0.5390728476821192,-0.008628891800050874,-0.036003158554786203,-0.01057582775915675,0.020050125313283144,-3.1375556923184953,-2.5709557448462452,13.226383978649702,10.007603577667103,7.0348425838640045,9.18901677354941,0.46511627906976744,-0.03334758689802086,-0.04816094984691002,-0.03679728475396364,-0.14062500000000006,-0.021,-0.042,-0.024,-0.06,-0.014,-0.041,-0.016,0.047,,,,
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.9,True,PCA(n_components=0.9),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x0000020C29B71280>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x0000020C8920A760>,StandardScaler(),IsolationForest(contamination=0.05),"[1.01543665e+01 2.03630386e+02 1.05572805e+01 1.85443573e+02
 1.42699118e+01 1.98675498e-01 9.89933968e+00 5.64039350e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],10.557280097673244,7.233905538781729,0.5993377483443708,-0.9337054678901245,-0.9048155031603391,12.486082055086529,9.250753254399818,6.9028821827578675,8.434541022356637,0.5437086092715232,-0.012765421790617149,-0.04095963843875118,-0.013317598819956894,0.028822055137844676,-3.0057217333650654,-2.491795172372365,13.297709041143229,10.01952956747004,7.117250450949995,9.234657762413512,0.4693446088794926,-0.0345790198468375,-0.060439363643664215,-0.041946960121191076,-0.13281250000000006,-0.024,-0.051,-0.028,-0.052,-0.019,-0.049,-0.02,0.074,,,,
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.95,True,PCA(n_components=0.95),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x0000020C29B71280>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x0000020CB82060A0>,StandardScaler(),IsolationForest(contamination=0.05),"[1.02149391e+01 2.03842728e+02 1.06038380e+01 2.38442261e+02
 1.42773504e+01 1.72185421e-01 9.94223690e+00 5.54199219e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],10.603838079518047,7.56436215826653,0.5860927152317881,-1.002182212172449,-0.8506150755251816,12.502853031065632,9.26331325231125,6.803437126331909,8.453433118293917,0.5456953642384106,-0.014140480797450991,-0.025963251822120736,-0.015587276949578758,0.03258145363408521,-3.2294073385054327,-2.9993606329844793,13.169451848017122,10.027776672932452,7.103959249288694,9.116813105738546,0.46723044397463004,-0.035430585005503036,-0.058459032400734856,-0.0286505408116664,-0.13671875,-0.025,-0.042,-0.022,-0.052,-0.02,-0.036,-0.02,0.086,,,,
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.99,True,PCA(n_components=0.99),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x0000020C29B71280>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x0000020C9E4D5E20>,StandardScaler(),IsolationForest(contamination=0.05),"[1.01836863e+01 1.99594131e+02 1.05077381e+01 1.77000809e+02
 1.41277790e+01 2.18543053e-01 9.84337330e+00 7.51073956e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],10.507738668041176,7.282250382520619,0.609271523178808,-0.8651088215622783,-0.7596591871625031,12.322242966799816,9.127939277883,6.616198956218896,8.319380422686677,0.5602649006622517,0.0006801588349043871,0.002272399997291524,0.0005176842176048635,0.06015037593984964,-3.0498687264345827,-2.270563550085563,13.308938055257494,10.057091697792702,7.309495493076737,9.224416216061094,0.4714587737843552,-0.038457544453296806,-0.08908303882996038,-0.0407914058642401,-0.12890625000000003,-0.019,-0.043,-0.02,-0.034,0.001,0.005,0.001,0.226,,,,
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",,False,,1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x0000020C29B71280>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x0000020CBE8F2A60>,StandardScaler(),IsolationForest(contamination=0.05),"[1.02775803e+01 2.01418304e+02 1.05246191e+01 2.27384964e+02
 1.41921921e+01 1.45695359e-01 9.85399818e+00 6.66543841e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],10.524619167283353,7.280389631255943,0.5728476821192053,-0.7822258841483112,-0.6212791558616433,12.625169322351367,9.379463869607235,6.975300647061328,8.48378105521594,0.5231788079470199,-0.02685656192966165,-0.05188039536633093,-0.01923324873268499,-0.010025062656641572,-3.201139896112936,-2.2826391336280594,13.546059419147682,10.288797997937062,7.3237348524074735,9.363818144291608,0.49471458773784355,-0.062382667412559524,-0.09120464144201464,-0.056520133348436016,-0.08593750000000004,-0.045,-0.072,-0.038,-0.048,-0.038,-0.066,-0.029,-0.018,,,,
0.001,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",,False,,1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x0000020C29B71280>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x0000020CBC2BE430>,StandardScaler(),IsolationForest(contamination=0.05),"[1.01587124e+01 2.00742249e+02 1.05189810e+01 2.15377930e+02
 1.41683540e+01 2.25165531e-01 9.86017227e+00 6.97871447e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],10.51898028598449,7.182148878009537,0.6125827814569537,-1.0207252596649217,-0.7460083674764282,12.365982713478534,9.153142276592138,6.732050977267628,8.374041151871566,0.547682119205298,-0.002079046271545642,-0.01519816878114083,-0.006049202907677445,0.03634085213032575,-3.1315740951748188,-2.6341204488357723,13.387105372507332,10.090698024697955,7.370992347407465,9.327604837093212,0.4799154334038055,-0.04192760764500302,-0.0982458026700132,-0.05243418383930742,-0.11328125000000004,-0.022,-0.057,-0.029,-0.038,-0.004,-0.026,-0.011,0.107,,,,
0.001,64,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",,False,,1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x0000020C29B71280>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x0000020CB5F31FA0>,StandardScaler(),IsolationForest(contamination=0.05),"[1.01599741e+01 2.00923782e+02 1.05199871e+01 2.19209625e+02
 1.41747589e+01 2.05298007e-01 9.85708046e+00 6.89458847e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],10.519987014348672,7.1924017913517435,0.6026490066225165,-0.9382082366232745,-0.6758001544681995,12.420977292662739,9.194445629251963,6.796149308788696,8.40045487309627,0.5443708609271524,-0.006600905868005855,-0.02486424365220872,-0.009222521822882516,0.030075187969924925,-3.097437511536073,-2.1991252744278134,13.392405475282072,10.088495697292608,7.312284896361442,9.326177878688767,0.47568710359408034,-0.041700203582460606,-0.08949864778802134,-0.05227318004144264,-0.12109375000000003,-0.024,-0.057,-0.031,-0.046,-0.011,-0.039,-0.016,0.08,,,,
