learning_rate,batch_size,optimizer,optimizer_name,optimizer_params,loss_function,loss_function_class,loss_function_params,metrics,epochs,activation_layers,pca_threshold,pca,pca_transform,n_splits,class_weights_enabled,outlier_dict,stratification_enabled,lr_schedule_enabled,lr_schedule_strategy,dropout_enabled,dropout_rate,early_stopping_metric,model,scaler,outlier_detection,avg_score,variance_score,mean_absolute_error_residuals_cv,median_absolute_error_residuals_cv,avg_sign_accuracy,validation_train_error_mean,validation_train_error_median,validation_train_error_std,validation_train_abserror_mean,validation_train_abserror_median,validation_train_abserror_std,validation_training_success,validation_training_improvement,validation_test_error_mean,validation_test_error_median,validation_test_error_std,validation_test_abserror_mean,validation_test_abserror_median,validation_test_abserror_std,validation_test_success,validation_test_improvement,validation_avg_train_test_improvement,validation_train_test_harmonic_mean,validation_train_test_geometric_mean,num_layers,iteration_number,preprocessor
0.001,64,"(tf.keras.optimizers.Adam, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(CustomLossWrapper, {'loss_function': custom_median_loss_scaled, 'lambda_sign': 2.0})",<class '__main__.CustomLossWrapper'>,"{'loss_function': <function custom_median_loss_scaled at 0x000001BAFB5578B0>, 'lambda_sign': 2.0}","[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.1, 'l1_reg': 0.1}]",0.99,True,PCA(n_components=0.99),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': reduce_lr_30_5, 'description': 'Reduce on Plateau 30%, patience 5'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001BD95916EE0>,StandardScaler(),IsolationForest(contamination=0.05),"[1.35776711e+01 3.09897369e+02 1.32698221e+01 2.57951630e+02
 1.76039028e+01 9.58855748e-02 1.25990047e+01 1.30611062e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],13.269826010099036,10.214100729408605,0.5479427865089176,0.1052567205618555,-0.4253606290079386,16.284136089813554,12.252952172398595,9.429256106109792,10.72585788536637,0.5581929285436756,0.0343180789521112,-0.3887920364605247,-0.9147316043826564,16.7125724276687,12.64139868681024,9.909110735710822,10.93785245199848,0.5630386604284658,0.0303284767415821,0.0323232778468467,0.0322001705472585,0.032261665476458,1,1,
0.001,64,"(tf.keras.optimizers.Adam, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(CustomLossWrapper, {'loss_function': custom_median_loss_scaled, 'lambda_sign': 2.0})",<class '__main__.CustomLossWrapper'>,"{'loss_function': <function custom_median_loss_scaled at 0x000001BAFB5578B0>, 'lambda_sign': 2.0}","[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.1, 'l1_reg': 0.01}]",0.99,True,PCA(n_components=0.99),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': reduce_lr_30_5, 'description': 'Reduce on Plateau 30%, patience 5'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001BD24123B50>,StandardScaler(),IsolationForest(contamination=0.05),"[1.17615633e+01 3.11268127e+02 1.32771597e+01 1.76301239e+02
 1.76427917e+01 1.12837717e-01 1.26058884e+01 8.69560242e-03]",[0. 0. 0. 0. 0. 0. 0. 0.],13.277156210598871,10.237894377760446,0.5564188592618753,1.1615399621535625,0.61677677570909,16.354094405965327,12.304239571731236,9.401507152621926,10.83540342621753,0.5601003143654409,0.0371599428711396,0.6162634371794729,0.2558762518224464,16.78790586308286,12.667341701305867,9.869469036785508,11.033236426298092,0.5602068456045309,0.0342076771669978,0.0356838100190687,0.0356227468031229,0.0356532653382552,1,2,
0.001,64,"(tf.keras.optimizers.Adam, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(CustomLossWrapper, {'loss_function': custom_median_loss_scaled, 'lambda_sign': 2.0})",<class '__main__.CustomLossWrapper'>,"{'loss_function': <function custom_median_loss_scaled at 0x000001BAFB5578B0>, 'lambda_sign': 2.0}","[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.1, 'l1_reg': 0.001}]",0.99,True,PCA(n_components=0.99),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': reduce_lr_30_5, 'description': 'Reduce on Plateau 30%, patience 5'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001BC674A6DF0>,StandardScaler(),IsolationForest(contamination=0.05),"[1.35422602e+01 3.11912964e+02 1.33003759e+01 2.30416626e+02
 1.76610584e+01 9.94172692e-02 1.26313915e+01 6.64192438e-03]",[0. 0. 0. 0. 0. 0. 0. 0.],13.30036837242522,10.284298438780718,0.549708634999117,0.770833177987978,0.3402765587213616,16.268227129350336,12.27602669498586,9.4982850784404,10.702488685169133,0.5564268305605595,0.02724858907316,0.3239956854244749,-0.1350692864372767,16.82546032235113,12.699300753381472,9.946629909395604,11.041241003478234,0.5618074365919724,0.0266569793420014,0.0269527842075807,0.0269495377704844,0.0269511609401509,1,3,
0.001,64,"(tf.keras.optimizers.Adam, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(CustomLossWrapper, {'loss_function': custom_median_loss_scaled, 'lambda_sign': 2.0})",<class '__main__.CustomLossWrapper'>,"{'loss_function': <function custom_median_loss_scaled at 0x000001BAFB5578B0>, 'lambda_sign': 2.0}","[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.1, 'l1_reg': 0.0001}]",0.99,True,PCA(n_components=0.99),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': reduce_lr_30_5, 'description': 'Reduce on Plateau 30%, patience 5'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001BC31FFC880>,StandardScaler(),IsolationForest(contamination=0.05),"[1.26334305e+01 3.10364349e+02 1.32564964e+01 3.19640625e+02
 1.76171608e+01 1.08246513e-01 1.25861197e+01 1.15737915e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],13.256494139216954,10.159697154469832,0.5541232562246159,0.5106895373963057,0.1344075803868509,16.27491211855747,12.245967662351733,9.381185872918527,10.731475028891545,0.5597470947688178,0.0392411136656644,0.1722614458571837,-0.1596126882083358,16.81625300596463,12.65298427190895,9.88036439101724,11.076927270645836,0.5668554543215957,0.0331414952445122,0.0361913044550883,0.0359342997308608,0.0360625731464073,1,4,
0.001,64,"(tf.keras.optimizers.Adam, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(CustomLossWrapper, {'loss_function': custom_median_loss_scaled, 'lambda_sign': 2.0})",<class '__main__.CustomLossWrapper'>,"{'loss_function': <function custom_median_loss_scaled at 0x000001BAFB5578B0>, 'lambda_sign': 2.0}","[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.01, 'l1_reg': 0.1}]",0.99,True,PCA(n_components=0.99),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': reduce_lr_30_5, 'description': 'Reduce on Plateau 30%, patience 5'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001BB26DED310>,StandardScaler(),IsolationForest(contamination=0.05),"[1.63003769e+01 3.11987610e+02 1.32775822e+01 3.49236603e+02
 1.76631718e+01 1.03302136e-01 1.26075735e+01 6.40416145e-03]",[0. 0. 0. 0. 0. 0. 0. 0.],13.27758203547636,10.257147748714862,0.5516510683383365,1.1950966098867326,0.6057986939291878,16.244532271941825,12.23485721294518,9.371330352951706,10.752493500509186,0.555932323125287,0.0402504507064008,0.8464034785660857,0.3298998970845733,16.832696262098175,12.680084932886563,9.77736384515052,11.101882632949112,0.5643930066486087,0.0432207746945934,0.0417356127004971,0.0416827632032455,0.0417091795812047,1,5,
0.001,64,"(tf.keras.optimizers.Adam, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(CustomLossWrapper, {'loss_function': custom_median_loss_scaled, 'lambda_sign': 2.0})",<class '__main__.CustomLossWrapper'>,"{'loss_function': <function custom_median_loss_scaled at 0x000001BAFB5578B0>, 'lambda_sign': 2.0}","[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.01, 'l1_reg': 0.01}]",0.99,True,PCA(n_components=0.99),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': reduce_lr_30_5, 'description': 'Reduce on Plateau 30%, patience 5'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001BB918CF7F0>,StandardScaler(),IsolationForest(contamination=0.05),"[1.27128344e+01 3.09344543e+02 1.32398109e+01 2.01037033e+02
 1.75881939e+01 1.19194776e-01 1.25694628e+01 1.48216486e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],13.239811643693244,10.184244426053905,0.5595973865442345,0.46272893232852,-0.0063395405660763,16.17963155945753,12.197090427098065,9.406321959681865,10.640504365037312,0.5626081735014659,0.0366668422406348,0.14234987574871,-0.2742066945555594,16.708319173302502,12.612384278616789,9.826996801107471,10.958848964333033,0.5682098005417385,0.0383638641917015,0.0375153532161681,0.0374961618501305,0.0375057563056427,1,6,
0.001,64,"(tf.keras.optimizers.Adam, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(CustomLossWrapper, {'loss_function': custom_median_loss_scaled, 'lambda_sign': 2.0})",<class '__main__.CustomLossWrapper'>,"{'loss_function': <function custom_median_loss_scaled at 0x000001BAFB5578B0>, 'lambda_sign': 2.0}","[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.01, 'l1_reg': 0.001}]",0.99,True,PCA(n_components=0.99),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': reduce_lr_30_5, 'description': 'Reduce on Plateau 30%, patience 5'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001BAC1D228B0>,StandardScaler(),IsolationForest(contamination=0.05),"[1.25690823e+01 3.10812134e+02 1.32728109e+01 1.92658325e+02
 1.76298656e+01 1.09306023e-01 1.26049519e+01 1.01477504e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],13.272809839025726,10.25537953530033,0.5546530107716758,0.3207903761261765,-0.1347838074924382,16.24019965528192,12.240377186728402,9.421653464957693,10.67777452965396,0.5590759775352336,0.0350966910748685,0.0815747070758477,-0.35693749173585,16.816620180228565,12.674325963013432,9.80397025596406,11.05201566622033,0.5597143560699335,0.040617162767135,0.0378569269210017,0.0376556717599006,0.0377561652445767,1,7,
0.001,64,"(tf.keras.optimizers.Adam, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(CustomLossWrapper, {'loss_function': custom_median_loss_scaled, 'lambda_sign': 2.0})",<class '__main__.CustomLossWrapper'>,"{'loss_function': <function custom_median_loss_scaled at 0x000001BAFB5578B0>, 'lambda_sign': 2.0}","[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.01, 'l1_reg': 0.0001}]",0.99,True,PCA(n_components=0.99),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': reduce_lr_30_5, 'description': 'Reduce on Plateau 30%, patience 5'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001BA85C0E490>,StandardScaler(),IsolationForest(contamination=0.05),"[1.23551435e+01 3.11268433e+02 1.32724218e+01 1.68963806e+02
 1.76428013e+01 9.90640968e-02 1.26028700e+01 8.69458914e-03]",[0. 0. 0. 0. 0. 0. 0. 0.],13.272420272103355,10.224159443181064,0.5495320501500971,0.8119415193816157,0.2788950962115605,16.246673700624513,12.239822959015672,9.424458868449795,10.714248489704776,0.5592172653738829,0.0348093802411097,0.3914221818273959,-0.0320331224085438,16.774736218008357,12.658372438212558,9.82768122052445,11.013213959605974,0.5641467618813101,0.0382968892596101,0.0365531347503599,0.0364699495513531,0.0365115184604727,1,8,
0.001,64,"(tf.keras.optimizers.Adam, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(CustomLossWrapper, {'loss_function': custom_median_loss_scaled, 'lambda_sign': 2.0})",<class '__main__.CustomLossWrapper'>,"{'loss_function': <function custom_median_loss_scaled at 0x000001BAFB5578B0>, 'lambda_sign': 2.0}","[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.001, 'l1_reg': 0.1}]",0.99,True,PCA(n_components=0.99),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': reduce_lr_30_5, 'description': 'Reduce on Plateau 30%, patience 5'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001BAA0C2E910>,StandardScaler(),IsolationForest(contamination=0.05),"[1.71539841e+01 3.10879730e+02 1.32674170e+01 3.17859375e+02
 1.76317825e+01 1.12131380e-01 1.25976267e+01 9.93251801e-03]",[0. 0. 0. 0. 0. 0. 0. 0.],13.267414419277904,10.279719592645492,0.5560656895638354,1.1571491222747337,0.657436853073686,16.21494240792724,12.241885386427082,9.390954432265197,10.695529308927918,0.5583342163823249,0.0382406825553409,0.7707864404118832,0.2325071695664986,16.762853842346342,12.668707111491248,9.867124870458062,11.003251831013914,0.5572519083969466,0.0344370692279135,0.0363388758916272,0.0362393442331099,0.0362890759386477,1,9,
0.001,64,"(tf.keras.optimizers.Adam, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(CustomLossWrapper, {'loss_function': custom_median_loss_scaled, 'lambda_sign': 2.0})",<class '__main__.CustomLossWrapper'>,"{'loss_function': <function custom_median_loss_scaled at 0x000001BAFB5578B0>, 'lambda_sign': 2.0}","[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.001, 'l1_reg': 0.01}]",0.99,True,PCA(n_components=0.99),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': reduce_lr_30_5, 'description': 'Reduce on Plateau 30%, patience 5'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001BDAE6AD610>,StandardScaler(),IsolationForest(contamination=0.05),"[1.27191954e+01 3.11228912e+02 1.32634068e+01 2.78876312e+02
 1.76416817e+01 1.13544054e-01 1.25938644e+01 8.82041454e-03]",[0. 0. 0. 0. 0. 0. 0. 0.],13.263402645045264,10.213449134918136,0.5567720289599153,0.8404032361491226,0.3779224843658701,16.24413082775599,12.229395336987675,9.359297782121908,10.72449046417106,0.5592172653738829,0.041482746868824,0.4643163353263073,0.0460712039910536,16.822648474719266,12.670914234895486,9.837758478692695,11.07453296419067,0.5625461708938685,0.0373107634064541,0.0393967551376391,0.0392863053940658,0.0393414915054388,1,10,
0.001,64,"(tf.keras.optimizers.Adam, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(CustomLossWrapper, {'loss_function': custom_median_loss_scaled, 'lambda_sign': 2.0})",<class '__main__.CustomLossWrapper'>,"{'loss_function': <function custom_median_loss_scaled at 0x000001BAFB5578B0>, 'lambda_sign': 2.0}","[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.001, 'l1_reg': 0.001}]",0.99,True,PCA(n_components=0.99),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': reduce_lr_30_5, 'description': 'Reduce on Plateau 30%, patience 5'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001BDB0B80880>,StandardScaler(),IsolationForest(contamination=0.05),"[1.11045952e+01 3.11385101e+02 1.32643490e+01 2.81703461e+02
 1.76461067e+01 1.20607451e-01 1.25943403e+01 8.32307339e-03]",[0. 0. 0. 0. 0. 0. 0. 0.],13.264352898388236,10.175000795052052,0.5603037259403143,0.4406654147556904,-0.0808088185974866,16.28045824242362,12.223214382962247,9.330359623079476,10.762679316280945,0.5641270177669457,0.0444464013396763,0.1103098291019316,-0.324422784145568,16.852400985418562,12.667656617022413,9.730492054953512,11.114238828642971,0.5658704752524009,0.047807487005153,0.0461269441724147,0.046065716959918,0.0460963204005742,1,11,
0.001,64,"(tf.keras.optimizers.Adam, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(CustomLossWrapper, {'loss_function': custom_median_loss_scaled, 'lambda_sign': 2.0})",<class '__main__.CustomLossWrapper'>,"{'loss_function': <function custom_median_loss_scaled at 0x000001BAFB5578B0>, 'lambda_sign': 2.0}","[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.001, 'l1_reg': 0.0001}]",0.99,True,PCA(n_components=0.99),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': reduce_lr_30_5, 'description': 'Reduce on Plateau 30%, patience 5'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001BDB3870790>,StandardScaler(),IsolationForest(contamination=0.05),"[1.09329329e+01 3.10751465e+02 1.32557249e+01 2.70621063e+02
 1.76281433e+01 1.22726470e-01 1.25873585e+01 1.03409886e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],13.25572311084564,10.229296246605452,0.5613632350344341,0.7365716400679972,0.2302675837465576,16.217296403255034,12.206629320520996,9.35658514292375,10.70215851994813,0.5636325103316732,0.0417605573983618,0.3941179424724986,-0.0989498249257538,16.78283286937484,12.643391335646852,9.837129669228403,11.042816603559496,0.5657473528687516,0.0373722965396827,0.0395664269690222,0.039444752895578,0.0395055430889643,1,12,
