learning_rate,batch_size,optimizer,optimizer_name,optimizer_params,loss_function,loss_function_class,loss_function_params,metrics,epochs,activation_layers,pca_threshold,pca,pca_transform,n_splits,class_weights_enabled,outlier_dict,stratification_enabled,lr_schedule_enabled,lr_schedule_strategy,dropout_enabled,dropout_rate,early_stopping_metric,model,scaler,outlier_detection,avg_score,variance_score,mean_absolute_error_residuals_cv,median_absolute_error_residuals_cv,avg_sign_accuracy,validation_train_error_mean,validation_train_error_median,validation_train_error_std,validation_train_abserror_mean,validation_train_abserror_median,validation_train_abserror_std,validation_training_success,validation_training_improvement,validation_test_error_mean,validation_test_error_median,validation_test_error_std,validation_test_abserror_mean,validation_test_abserror_median,validation_test_abserror_std,validation_test_success,validation_test_improvement,validation_avg_train_test_improvement,validation_train_test_harmonic_mean,validation_train_test_geometric_mean
0.1,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'relu', 'l2_reg': 0.01, 'l1_reg': 0.01}]",0.85,True,PCA(n_components=0.85),3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function step_decay_70_10 at 0x000001F5B88AB550>, 'description': 'Step Decay 70% every 10 epochs'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001FB0852ECD0>,StandardScaler(),IsolationForest(contamination=0.05),"[9.72981707e+00 1.51501409e+02 9.10335922e+00 1.29988360e+02
 1.22966852e+01 8.74330675e-02 8.44010623e+00 1.07373794e-03]","[5.61359354e-02 1.77816001e+02 1.40060788e-01 9.16081989e+01
 2.92942183e-01 2.81877539e-03 1.36659636e-01 2.54161676e-05]",9.103359545169829,6.522543977172281,0.5437165367582862,0.3351370937367441,0.44397856532169633,12.288705111380576,9.081400600225201,6.49308880660101,8.282401490562929,0.5490066225165563,0.020837499826820233,-1.4470652260141985,-1.1258012772487005,13.036837484424167,9.68225786267585,6.676721949222014,8.838146515242334,0.5010570824524313,0.005197467216624366,0.013017483521722299,0.008319751052159194,0.010406835360776785
0.1,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'relu', 'l2_reg': 0.01, 'l1_reg': 0.01}]",0.9,True,PCA(n_components=0.9),3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function step_decay_70_10 at 0x000001F5B88AB550>, 'description': 'Step Decay 70% every 10 epochs'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001FB10DA2EE0>,StandardScaler(),IsolationForest(contamination=0.05),"[1.00133076e+01 1.51103521e+02 9.09059334e+00 1.38743996e+02
 1.22803876e+01 8.47849424e-02 8.42943573e+00 3.75356277e-03]","[1.00751144e-01 1.78420430e+02 1.44375738e-01 1.86797809e+02
 2.95606226e-01 2.10029026e-03 1.40031248e-01 1.12944267e-05]",9.090593502500584,6.56897830099517,0.5423924705733851,0.2945399524111223,0.28640058846962935,12.300502071513526,9.083228753969909,6.579719127692922,8.296351160458537,0.5337748344370861,0.007773584590526748,-1.366994409443073,-0.7232291883683342,13.180941372640175,9.79840201936923,6.868742835175505,8.910541952141314,0.4883720930232558,-0.02341280967473237,-0.00781961254210281,0.02327499675060527,
0.1,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'relu', 'l2_reg': 0.01, 'l1_reg': 0.01}]",0.95,True,PCA(n_components=0.95),3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function step_decay_70_10 at 0x000001F5B88AB550>, 'description': 'Step Decay 70% every 10 epochs'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001FB116C5B80>,StandardScaler(),IsolationForest(contamination=0.05),"[1.02426767e+01 1.51550776e+02 9.09652678e+00 1.41642253e+02
 1.22983548e+01 8.07982795e-02 8.43809700e+00 8.69711240e-04]","[1.34642539e-01 1.82395311e+02 1.69243984e-01 1.05648596e+02
 3.01248446e-01 5.35036692e-03 1.64282546e-01 7.18743584e-06]",9.096526450924074,6.5491776180154,0.5403991395542092,-0.060815359717657225,0.033025304289717394,12.32146927324719,9.085030392833591,6.487933157082573,8.3204466087464,0.5443708609271524,0.02161497551256132,-2.033539874086537,-1.4983819490456494,13.109111874716332,9.803665274852673,6.779164052739187,8.92621869163845,0.4630021141649049,-0.010065960677720644,0.005774507417420339,-0.03767862396417788,
0.1,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'relu', 'l2_reg': 0.01, 'l1_reg': 0.01}]",0.99,True,PCA(n_components=0.99),3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function step_decay_70_10 at 0x000001F5B88AB550>, 'description': 'Step Decay 70% every 10 epochs'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001FB19E8B5B0>,StandardScaler(),IsolationForest(contamination=0.05),"[ 1.11215369e+01  1.51891637e+02  9.12752120e+00  1.36311315e+02
  1.23120197e+01  4.10815530e-02  8.46578169e+00 -1.33490562e-03]","[3.67769138e-01 1.86157759e+02 1.52112554e-01 3.79043605e+02
 3.05803654e-01 1.06574750e-03 1.50614983e-01 1.61636573e-05]",9.127521459104283,6.592881360741141,0.5205407765049913,0.22178809980634584,0.2901789421049672,12.255636485533588,9.051452019795168,6.505841975639436,8.262370793500207,0.5496688741721855,0.01891431268850459,-1.638326354290533,-1.3914040772475245,13.070616774271762,9.707131731649872,6.97567121528427,8.8939743576018,0.5031712473572939,-0.03934467327001322,-0.010215180290754314,0.07285015356308767,
0.1,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'relu', 'l2_reg': 0.01, 'l1_reg': 0.01}]",,False,,3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function step_decay_70_10 at 0x000001F5B88AB550>, 'description': 'Step Decay 70% every 10 epochs'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001FB1B899340>,StandardScaler(),IsolationForest(contamination=0.05),"[ 1.35305179e+01  1.52079992e+02  9.14046605e+00  1.69606201e+02
  1.23194421e+01  6.09543802e-02  8.47955624e+00 -2.49727567e-03]","[2.57210457e+00 1.89177696e+02 1.90783373e-01 2.02587792e+02
 3.11331718e-01 1.22457706e-03 1.87089486e-01 1.97876100e-06]",9.140466692014456,6.663055574151888,0.5304771897714243,0.49537252359783956,0.5005464408244698,12.214510469239654,9.012706437530882,6.445695132721397,8.255732288790876,0.5543046357615894,0.0279845002130119,-1.120774053475435,-0.7875108784222515,13.188080022752874,9.808705007311936,6.902931727228262,8.875230719870892,0.46511627906976744,-0.028506805900096147,-0.0002611528435421239,3.0547196230503717,
0.1,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'relu', 'l2_reg': 0.01, 'l1_reg': 0.01}]",0.85,True,PCA(n_components=0.85),3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function step_decay_70_10 at 0x000001F5B88AB550>, 'description': 'Step Decay 70% every 10 epochs'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001FB1B227730>,StandardScaler(),IsolationForest(contamination=0.05),"[9.69864527e+00 1.51552490e+02 9.10076364e+00 1.26676450e+02
 1.22988094e+01 7.41792619e-02 8.44163752e+00 7.25130240e-04]","[1.97537714e-01 1.76898527e+02 1.43838039e-01 3.80174352e+01
 2.91777971e-01 2.92657099e-03 1.40888634e-01 1.96019399e-05]",9.10076379134665,6.556654439390595,0.5370896315230311,0.1058994888109774,0.24530760625057624,12.296572262501845,9.074723592271297,6.5136734716772136,8.295283617616725,0.5490066225165563,0.017733317407391116,-1.6872689173731859,-1.3318273431985954,13.065440174327346,9.715263555194861,6.726150781903207,8.886637038128503,0.4714587737843552,-0.0021672138825348177,0.007783051762428149,-0.004937894908295512,
0.1,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'relu', 'l2_reg': 0.01, 'l1_reg': 0.01}]",0.9,True,PCA(n_components=0.9),3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function step_decay_70_10 at 0x000001F5B88AB550>, 'description': 'Step Decay 70% every 10 epochs'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001FB28A21D90>,StandardScaler(),IsolationForest(contamination=0.05),"[ 9.43723901e+00  1.51735001e+02  9.09461053e+00  1.24485733e+02
  1.23058459e+01  9.93562415e-02  8.43491093e+00 -3.54250272e-04]","[2.68035308e-01 1.82805938e+02 1.52889311e-01 7.91197277e+00
 3.01154615e-01 1.44395826e-03 1.50065035e-01 1.03283759e-05]",9.094610312865134,6.456631274963204,0.5496781217457162,0.23236700391484175,0.3398565360438526,12.30389921055704,9.0793898571809,6.474369438668642,8.30361467708386,0.5490066225165563,0.023660394084432296,-1.6306132246214204,-1.185848624035894,13.094748795617228,9.72021578706611,6.831221438183828,8.913709039105594,0.47780126849894294,-0.017822284706826536,0.00291905468880288,-0.1444585061273384,
0.1,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'relu', 'l2_reg': 0.01, 'l1_reg': 0.01}]",0.95,True,PCA(n_components=0.95),3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function step_decay_70_10 at 0x000001F5B88AB550>, 'description': 'Step Decay 70% every 10 epochs'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001FB2D358A00>,StandardScaler(),IsolationForest(contamination=0.05),"[ 1.00835053e+01  1.51778081e+02  9.11296304e+00  1.43189695e+02
  1.23089406e+01  8.20973609e-02  8.45178382e+00 -1.11897786e-03]","[8.28657914e-02 1.63284878e+02 1.25295040e-01 1.52308208e+02
 2.68063631e-01 1.39763108e-03 1.21901823e-01 8.68774844e-05]",9.112963564994745,6.567334368971263,0.5410486814562362,-0.0971491815796065,-0.15824189473883088,12.365804020193245,9.134459211460602,6.592313754044202,8.332401478405469,0.5384105960264901,0.005874305804391967,-2.3003709635198906,-1.5866641054207444,13.173667579527297,9.83575130805122,6.917031895768156,9.049943073972939,0.47780126849894294,-0.03060766968966784,-0.012366681942637937,0.014538969511055037,
0.1,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'relu', 'l2_reg': 0.01, 'l1_reg': 0.01}]",0.99,True,PCA(n_components=0.99),3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function step_decay_70_10 at 0x000001F5B88AB550>, 'description': 'Step Decay 70% every 10 epochs'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001FB2DC994C0>,StandardScaler(),IsolationForest(contamination=0.05),"[ 1.14405050e+01  1.52199585e+02  9.12980016e+00  1.69478770e+02
  1.23244499e+01  3.44309770e-02  8.46961959e+00 -3.33841642e-03]","[9.15622619e-02 1.86739622e+02 1.57137603e-01 8.71865583e+02
 3.07528484e-01 3.84737348e-03 1.55860698e-01 4.53199630e-06]",9.129800438729502,6.608243603402607,0.5172154901280149,0.22189896598508574,0.34845803172252726,12.224081933099582,9.002565215615334,6.471483154493407,8.269072613745077,0.5649006622516556,0.024095647830902046,-1.7899139949878389,-1.3965484565151733,13.15331059323889,9.777154683905355,6.883312398430774,8.967991895247238,0.45665961945031713,-0.02558361123545604,-0.0007439817022769964,0.8285871610626546,
0.1,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'relu', 'l2_reg': 0.01, 'l1_reg': 0.01}]",,False,,3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function step_decay_70_10 at 0x000001F5B88AB550>, 'description': 'Step Decay 70% every 10 epochs'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001FB38198B20>,StandardScaler(),IsolationForest(contamination=0.05),"[1.23011411e+01 1.50830424e+02 9.07832813e+00 1.69636546e+02
 1.22680346e+01 8.87689727e-02 8.41589657e+00 5.96648455e-03]","[6.95925514e-01 1.95864859e+02 1.71076987e-01 7.08403790e+02
 3.25747435e-01 3.21811528e-03 1.70805043e-01 4.30587607e-06]",9.078327653957121,6.610995122209061,0.5443844867304112,0.07918527223368121,0.34062673142845035,12.214256504059497,8.999749704212352,6.480590481703479,8.255008584143928,0.5642384105960265,0.02272225628390147,-1.8055049836387254,-1.6089257384351177,13.308141181564,9.8812009155334,6.854330958693572,9.084513439432543,0.4714587737843552,-0.021265502757442083,0.000728376763229694,-0.663393216332239,
0.001,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'relu', 'l2_reg': 0.01, 'l1_reg': 0.01}]",0.85,True,PCA(n_components=0.85),3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function step_decay_70_10 at 0x000001F5B88AB550>, 'description': 'Step Decay 70% every 10 epochs'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001FB3819EBB0>,StandardScaler(),IsolationForest(contamination=0.05),"[ 1.04173024e+01  1.52292084e+02  9.13314374e+00  1.28178477e+02
  1.23280738e+01  4.50313948e-02  8.47287226e+00 -3.91868750e-03]","[1.78000234e-02 1.89563191e+02 1.50409455e-01 3.23952311e+02
 3.10669855e-01 5.98291980e-06 1.48436040e-01 1.20558056e-05]",9.133143804692216,6.58868583395623,0.5225156994540693,0.56910181146042,0.680943378425888,12.301323241909222,9.095221522495647,6.649466447574171,8.298721026536937,0.5317880794701987,-0.0027443618213370898,-1.306514975019405,-1.0144709908556457,13.03493009809437,9.658402339326297,6.797833485680789,8.839549062470226,0.5116279069767442,-0.012847624991014219,-0.007795993406175654,-0.004522647683650603,
0.001,64,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'relu', 'l2_reg': 0.01, 'l1_reg': 0.01}]",0.85,True,PCA(n_components=0.85),3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function step_decay_70_10 at 0x000001F5B88AB550>, 'description': 'Step Decay 70% every 10 epochs'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001FB2C188DF0>,StandardScaler(),IsolationForest(contamination=0.05),"[ 1.08779138e+01  1.52354538e+02  9.13067500e+00  1.19867874e+02
  1.23309552e+01  5.03381826e-02  8.46967967e+00 -4.43975131e-03]","[1.41016537e-02 1.83863383e+02 1.48704734e-01 9.46927404e+00
 3.02073834e-01 2.70202572e-04 1.45731728e-01 7.88323439e-06]",9.130674720147695,6.56693905425103,0.525169091272471,0.6182239789427013,0.7303455530050791,12.305170101800984,9.1002113301179,6.594308663451626,8.302465850539141,0.5397350993377483,0.005573472019243928,-1.3455884115581196,-0.9557601472689665,13.050449921247827,9.674016832013326,6.6724827230202415,8.851203815869358,0.4630021141649049,0.005829093483920986,0.005701282751582457,0.005698417504582319,0.005699849948041678
